time [s],applied force,friction force,pos,vel
0.000000,0.00,-0.00,0.000000,0.000000
0.001000,5.00,-0.00,0.000000,0.000000
0.002000,10.00,-0.00,0.000000,0.000000
0.003000,15.00,-0.00,0.000000,0.000000
0.004000,20.00,-0.00,0.000000,0.000000
0.005000,25.00,-0.00,0.000000,0.000000
0.006000,30.00,-0.00,0.000000,0.000000
0.007000,35.00,-0.00,0.000000,0.000000
0.008000,40.00,-0.00,0.000000,0.000000
0.009000,45.00,-0.00,0.000000,0.000000
0.010000,50.00,-0.00,0.000000,0.000000
0.011000,55.00,-0.00,0.000000,0.000000
0.012000,60.00,-0.00,0.000000,0.000000
0.013000,65.00,-0.00,0.000000,0.000000
0.014000,70.00,-0.00,0.000000,0.000000
0.015000,75.00,-0.00,0.000000,0.000000
0.016000,80.00,-0.00,0.000000,0.000000
0.017000,85.00,-0.00,0.000000,0.000000
0.018000,90.00,-0.00,0.000000,0.000000
0.019000,95.00,-0.00,0.000000,0.000000
0.020000,100.00,-0.00,0.000000,0.000000
0.021000,105.00,-0.00,0.000000,0.000000
0.022000,110.00,-0.00,0.000000,0.000000
0.023000,115.00,-0.00,0.000000,0.000000
0.024000,120.00,-0.00,0.000000,0.000000
0.025000,125.00,-0.00,0.000000,0.000000
0.026000,130.00,-0.00,0.000000,0.000000
0.027000,135.00,-0.00,0.000000,0.000000
0.028000,140.00,-0.00,0.000000,0.000000
0.029000,145.00,-0.00,0.000000,0.000000
0.030000,150.00,-0.00,0.000000,0.000000
0.031000,155.00,-0.00,0.000000,0.000000
0.032000,160.00,-0.00,0.000000,0.000000
0.033000,165.00,-0.00,0.000000,0.000000
0.034000,170.00,-0.00,0.000000,0.000000
0.035000,175.00,-0.00,0.000000,0.000000
0.036000,180.00,-0.00,0.000000,0.000000
0.037000,185.00,-0.00,0.000000,0.000000
0.038000,190.00,-0.00,0.000000,0.000000
0.039000,195.00,-0.00,0.000000,0.000000
0.040000,200.00,-0.00,0.000000,0.000000
0.041000,205.00,-0.00,0.000000,0.000000
0.042000,210.00,-0.00,0.000000,0.000000
0.043000,215.00,-0.00,0.000000,0.000000
0.044000,220.00,-0.00,0.000000,0.000000
0.045000,225.00,-0.00,0.000000,0.000000
0.046000,230.00,-0.00,0.000000,0.000000
0.047000,235.00,-0.00,0.000000,0.000000
0.048000,240.00,-0.00,0.000000,0.000000
0.049000,245.00,-0.00,0.000000,0.000000
0.050000,250.00,-0.00,0.000000,0.000000
0.051000,255.00,-0.00,0.000000,0.000000
0.052000,260.00,-0.00,0.000000,0.000000
0.053000,265.00,-0.00,0.000000,0.000000
0.054000,270.00,-45.00,0.000000,0.000000
0.055000,275.00,-50.00,0.000000,0.000000
0.056000,280.00,-55.00,0.000000,0.000000
0.057000,285.00,-60.00,0.000000,0.000000
0.058000,290.00,-70.00,0.000000,0.000000
0.059000,295.00,-75.00,0.000000,0.000000
0.060000,300.00,-85.00,0.000000,0.000000
0.061000,305.00,-85.00,0.000000,0.000000
0.062000,310.00,-85.00,0.000000,0.000000
0.063000,315.00,-85.00,0.000000,0.000000
0.064000,320.00,-90.00,0.000000,0.000000
0.065000,325.00,-95.00,0.000000,0.000000
0.066000,330.00,-100.00,0.000000,0.000000
0.067000,335.00,-100.00,0.000000,0.000000
0.068000,340.00,-105.00,0.000000,0.000000
0.069000,345.00,-105.00,0.000000,0.000000
0.070000,350.00,-105.00,0.000000,0.000000
0.071000,355.00,-105.00,0.000000,0.000000
0.072000,360.00,-110.00,0.000000,0.000000
0.073000,365.00,-110.00,0.000000,0.000000
0.074000,370.00,-110.00,0.000000,0.000000
0.075000,375.00,-125.00,0.000000,0.000000
0.076000,380.00,-135.00,0.000000,0.000000
0.077000,385.00,-135.00,0.000000,-0.000000
0.078000,390.00,-135.00,0.000000,-0.000000
0.079000,395.00,-140.00,0.000000,0.000000
0.080000,400.00,-145.00,0.000000,0.000000
0.081000,405.00,-150.00,0.000000,0.000000
0.082000,410.00,-150.00,0.000000,0.000000
0.083000,415.00,-160.00,0.000000,0.000000
0.084000,420.00,-175.00,0.000000,0.000000
0.085000,425.00,-180.00,0.000000,0.000000
0.086000,430.00,-190.00,0.000000,-0.000000
0.087000,435.00,-195.00,0.000000,-0.000000
0.088000,440.00,-215.00,0.000000,-0.000000
0.089000,445.00,-215.00,0.000000,-0.000000
0.090000,450.00,-220.00,0.000000,-0.000000
0.091000,455.00,-220.00,-0.000000,-0.000000
0.092000,460.00,-225.00,-0.000000,-0.000000
0.093000,465.00,-225.00,-0.000000,-0.000000
0.094000,470.00,-225.00,-0.000000,-0.000000
0.095000,475.00,-235.00,0.000000,0.000000
0.096000,480.00,-235.00,0.000000,0.000000
0.097000,485.00,-235.00,0.000000,0.000000
0.098000,490.00,-240.00,0.000000,0.000000
0.099000,495.00,-245.00,0.000000,0.000000
0.100000,500.00,-245.00,0.000000,0.000000
0.101000,505.00,-245.00,0.000000,0.000000
0.102000,510.00,-255.00,0.000000,0.000000
0.103000,515.00,-260.00,0.000000,0.000000
0.104000,520.00,-260.00,0.000000,0.000000
0.105000,525.00,-260.00,0.000000,0.000000
0.106000,530.00,-260.00,0.000000,0.000000
0.107000,535.00,-260.00,0.000000,0.000000
0.108000,540.00,-260.00,0.000000,0.000000
0.109000,545.00,-260.00,0.000000,0.000000
0.110000,550.00,-260.00,0.000000,0.000000
0.111000,555.00,-265.00,0.000000,0.000000
0.112000,560.00,-270.00,0.000000,0.000000
0.113000,565.00,-275.00,0.000000,0.000000
0.114000,570.00,-280.00,0.000000,0.000000
0.115000,575.00,-280.00,0.000000,0.000000
0.116000,580.00,-280.00,0.000000,0.000000
0.117000,585.00,-285.00,0.000000,0.000000
0.118000,590.00,-285.00,0.000000,0.000000
0.119000,595.00,-290.00,0.000000,0.000000
0.120000,600.00,-300.00,0.000000,0.000000
0.121000,605.00,-305.00,0.000000,0.000000
0.122000,610.00,-310.00,0.000000,0.000000
0.123000,615.00,-310.00,0.000000,-0.000000
0.124000,620.00,-310.00,0.000000,-0.000000
0.125000,625.00,-315.00,0.000000,-0.000000
0.126000,630.00,-320.00,0.000000,-0.000000
0.127000,635.00,-320.00,0.000000,-0.000000
0.128000,640.00,-335.00,0.000000,-0.000000
0.129000,645.00,-350.00,0.000000,-0.000000
0.130000,650.00,-350.00,0.000000,-0.000000
0.131000,655.00,-365.00,0.000000,-0.000000
0.132000,660.00,-365.00,0.000000,-0.000000
0.133000,665.00,-365.00,0.000000,-0.000000
0.134000,670.00,-365.00,0.000000,-0.000000
0.135000,675.00,-370.00,0.000000,-0.000000
0.136000,680.00,-390.00,0.000000,-0.000000
0.137000,685.00,-395.00,0.000000,-0.000000
0.138000,690.00,-400.00,0.000000,-0.000000
0.139000,695.00,-400.00,0.000000,-0.000000
0.140000,700.00,-400.00,0.000000,-0.000000
0.141000,705.00,-405.00,0.000000,-0.000000
0.142000,710.00,-405.00,0.000000,-0.000000
0.143000,715.00,-405.00,0.000000,-0.000000
0.144000,720.00,-420.00,0.000000,-0.000000
0.145000,725.00,-420.00,0.000000,0.000000
0.146000,730.00,-430.00,0.000000,0.000000
0.147000,735.00,-430.00,0.000000,0.000000
0.148000,740.00,-440.00,0.000000,-0.000000
0.149000,745.00,-440.00,0.000000,-0.000000
0.150000,750.00,-450.00,0.000000,-0.000000
0.151000,755.00,-465.00,0.000000,-0.000000
0.152000,760.00,-470.00,0.000000,0.000000
0.153000,765.00,-470.00,0.000000,0.000000
0.154000,770.00,-495.00,0.000000,0.000000
0.155000,775.00,-510.00,0.000000,0.000000
0.156000,780.00,-515.00,0.000000,0.000000
0.157000,785.00,-525.00,0.000000,0.000000
0.158000,790.00,-530.00,0.000000,0.000000
0.159000,795.00,-545.00,0.000000,0.000000
0.160000,800.00,-565.00,0.000000,-0.000000
0.161000,805.00,-570.00,0.000000,-0.000000
0.162000,810.00,-575.00,0.000000,-0.000000
0.163000,815.00,-580.00,0.000000,0.000000
0.164000,820.00,-580.00,0.000000,0.000000
0.165000,825.00,-580.00,0.000000,0.000000
0.166000,830.00,-585.00,0.000000,0.000000
0.167000,835.00,-590.00,0.000000,0.000000
0.168000,840.00,-590.00,0.000000,0.000000
0.169000,845.00,-595.00,0.000000,0.000000
0.170000,850.00,-595.00,0.000000,0.000000
0.171000,855.00,-595.00,0.000000,0.000000
0.172000,860.00,-595.00,0.000000,0.000000
0.173000,865.00,-595.00,0.000000,0.000000
0.174000,870.00,-600.00,0.000000,0.000000
0.175000,875.00,-605.00,0.000000,0.000000
0.176000,880.00,-605.00,0.000000,0.000000
0.177000,885.00,-605.00,0.000000,0.000000
0.178000,890.00,-625.00,0.000000,0.000000
0.179000,895.00,-635.00,0.000000,0.000000
0.180000,900.00,-635.00,0.000000,0.000000
0.181000,905.00,-635.00,0.000000,0.000000
0.182000,910.00,-635.00,0.000000,0.000000
0.183000,915.00,-640.00,0.000000,0.000000
0.184000,920.00,-645.00,0.000000,0.000000
